,Descripcion,Mililitros,Precio,Descuento,PrecioConDescuento,NombreJumbo,Nombre2,Descripcion2,Mililitros2,Precio2,Descuento2,PrecioConDescuento2,archivo1,archivo2
0,Licor Convier crema triple sec 750ml,750ml,$ 67.990,,$ 46.990,CONVIER,CONVIER,Licor Crema Triple Sec Azul CONVIER 750 Mililitro,750 Mililitro,$ 60.600,-15 %,$ 51.510,1.0,2.0
1,Licor Convier crema triple sec 750ml,750ml,$ 67.990,,$ 46.990,CONVIER,GRAJALES,Licor Crema Curacao GRAJALES 750 ml,750 ml,$ 56.300,-15 %,$ 47.855,1.0,9.0
2,Licor Convier crema triple sec 750ml,750ml,$ 67.990,,$ 46.990,CONVIER,GRAJALES,Licor Crema Tripe C GRAJALES 750 ml,750 ml,$ 49.300,-15 %,$ 41.905,1.0,10.0
3,Licor Convier crema triple sec 750ml,750ml,$ 67.990,,$ 46.990,CONVIER,GRAJALES,Licor Crema Amaretto GRAJALES 750 ml,750 ml,$ 48.150,-15 %,$ 40.928,1.0,11.0
4,Licor De Ron Viejo De Caldas Esencial x750ml,x750ml,$ 35.290,,$ 46.990,VIEJO DE CALDAS,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 750 ml,750 ml,$ 38.700,0,$ 38.700,2.0,1.0
5,Licor De Ron Viejo De Caldas Esencial x750ml,x750ml,$ 35.290,,$ 46.990,VIEJO DE CALDAS,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 1750 ml,1750 ml,$ 87.700,0,$ 87.700,2.0,6.0
6,Licor De Ron Viejo De Caldas Esencial x750ml,x750ml,$ 35.290,,$ 46.990,VIEJO DE CALDAS,VIEJO DE CALDAS,RON ROBLE BLANCO VIEJO DE CALDAS 750 ml,750 ml,$ 40.800,0,$ 40.800,2.0,104.0
7,Licor De Ron Viejo De Caldas Esencial x375ml,x375ml,$ 18.590,,$ 46.990,VIEJO DE CALDAS,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 750 ml,750 ml,$ 38.700,0,$ 38.700,5.0,1.0
8,Licor De Ron Viejo De Caldas Esencial x375ml,x375ml,$ 18.590,,$ 46.990,VIEJO DE CALDAS,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 1750 ml,1750 ml,$ 87.700,0,$ 87.700,5.0,6.0
9,Licor convier triple sec azul 35 x 750ml,750ml,$ 67.990,,$ 46.990,CONVIER,CONVIER,Licor Crema Triple Sec Azul CONVIER 750 Mililitro,750 Mililitro,$ 60.600,-15 %,$ 51.510,6.0,2.0
10,Licor convier triple sec azul 35 x 750ml,750ml,$ 67.990,,$ 46.990,CONVIER,GRAJALES,Licor Crema Tripe C GRAJALES 750 ml,750 ml,$ 49.300,-15 %,$ 41.905,6.0,10.0
11,Licor de Ron Medellin x750ml,x750ml,$ 35.990,,$ 46.990,MEDELLIN,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 750 ml,750 ml,$ 38.700,0,$ 38.700,9.0,1.0
12,Licor de Ron Medellin x750ml,x750ml,$ 35.990,,$ 46.990,MEDELLIN,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 1750 ml,1750 ml,$ 87.700,0,$ 87.700,9.0,6.0
