Id,Nombre,Descripcion,Mililitros,Precio,Descuento,PrecioConDescuento,FechaHoraScraping
1,JAGERMEISTER,LICOR DE HIERBAS JAGERMEISTER 700 ml,700 ml,$ 93.700,-10 %,$ 84.330,2023-04-12 20:44:03
2,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 750 ml,750 ml,$ 38.700,0,$ 38.700,2023-04-12 20:44:03
3,JAGERMEISTER,Licor Jagermeister x 350 ml,350 ml,$ 65.200,0,$ 65.200,2023-04-12 20:44:03
4,SMIRNOFF,Licor de Vodka X1 Sin Azucar SMIRNOFF 750 ml,750 ml,$ 42.850,0,$ 42.850,2023-04-12 20:44:03
5,CONVIER,Licor Crema Triple Sec Azul CONVIER 750 Mililitro,750 Mililitro,$ 60.600,0,$ 60.600,2023-04-12 20:44:03
6,NOBLE 1954,Licor Light 24 NOBLE 1954 375 ml,375 ml,$ 30.250,0,$ 30.250,2023-04-12 20:44:03
7,AMARETO D SARON,LICOR AMARETTO AMARETO D SARON 700 Mililitro,700 Mililitro,$ 144.400,0,$ 144.400,2023-04-12 20:44:03
8,VIEJO DE CALDAS,Licor De Ron Esencial VIEJO DE CALDAS 1750 ml,1750 ml,$ 87.700,0,$ 87.700,2023-04-12 20:44:03
9,COINTREAU,Licor Puscafe Francia COINTREAU 750 Mililitro,750 Mililitro,$ 208.100,0,$ 208.100,2023-04-12 20:44:03
10,GRAJALES,Licor Crema Tripe C GRAJALES 750 ml,750 ml,$ 49.300,0,$ 49.300,2023-04-12 20:44:03
11,JAGERMEISTER,Licor De Hierbas Coolpack JAGERMEISTER 350 ml,350 ml,$ 72.200,0,$ 72.200,2023-04-12 20:44:03
12,GRAJALES,Licor Crema Curacao GRAJALES 750 ml,750 ml,$ 56.300,0,$ 56.300,2023-04-12 20:44:03
13,AGUILA LIGHT,Cerveza Light Sixpack AGUILA LIGHT 1980 ml,1980 ml,$ 16.500,$ 15.800,$ 15.800,2023-04-12 20:45:05
14,AGUILA,Cerveza Lata Sixpack AGUILA 1980 ml,1980 ml,$ 16.450,0,$ 16.450,2023-04-12 20:45:05
15,CLUB COLOMBIA,Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,1980 ml,$ 15.150,0,$ 15.150,2023-04-12 20:45:05
16,CERVEZA COSTEÑA BACANA,Cerveza Sixpack CERVEZA COSTEÑA BACANA 1980 ml,1980 ml,$ 11.650,0,$ 11.650,2023-04-12 20:45:05
17,COLA Y POLA,Refajo lata 6 und COLA Y POLA 330 ml,330 ml,$ 15.350,0,$ 15.350,2023-04-12 20:45:05
18,MONARCA MARCA EXCLUSIVA,CERVEZA MONARCA SIXPACK 4.5% MONARCA MARCA EXCLUSIVA 1980 ml,1980 ml,$ 19.900,0,$ 19.900,2023-04-12 20:45:05
19,CRUZARES MARCA EXCLUSIVA,Vino Tinto CRUZARES MARCA EXCLUSIVA 750 ml,750 ml,$ 14.950,0,$ 14.950,2023-04-12 20:45:05
20,LA CENTRAL,Cerveza Sixpack Lata LA CENTRAL 1980 ml,1980 ml,$ 8.900,0,$ 8.900,2023-04-12 20:45:05
21,ESTRELLA DAMM MARCA EXCLUSIVA,Cerveza Con Alcohol Sixpack ESTRELLA DAMM 1980 ml,1980 ml,$ 22.900,0,$ 22.900,2023-04-12 20:45:05
22,TAGUS MARCA EXCLUSIVA,CERVEZA TAGUS SIXPACK TAGUS MARCA EXCLUSIVA 1980 ml,1980 ml,$ 17.400,0,$ 17.400,2023-04-12 20:45:05
23,JOSE CUERVO,TEQUILA REPOSADO ESPECIAL JOSE CUERVO 750 ml,750 ml,$ 76.500,0,$ 76.500,2023-04-12 20:45:05
24,CLUB COLOMBIA,Cerveza negra lata 6 und CLUB COLOMBIA 330 ml,330 ml,$ 17.700,0,$ 17.700,2023-04-12 20:45:05
25,CORONA,Cerveza Extra Sixpack CORONA 1614 ml,1614 ml,$ 21.200,0,$ 21.200,2023-04-12 20:46:01
26,PRIMA MARCA EXCLUSIVA,CERV. SIN ALCOH. SIXPACK PRIMA MARCA EXCLUSIVA 1980 ml,1980 ml,$ 13.100,0,$ 13.100,2023-04-12 20:46:01
27,HEINEKEN,CERVEZA LT SIXPACK. HEINEKEN 1980 Mililitro,1980 Mililitro,$ 17.700,0,$ 17.700,2023-04-12 20:46:01
28,BUDWEISER,CERVEZA LATA X 24 BUDWEISER 6456 ml,6456 ml,$ 58.800,0,$ 58.800,2023-04-12 20:46:01
29,BUDWEISER,Cerveza BUD SIXPACK BUDWEISER 2130 ml,2130 ml,$ 19.500,0,$ 19.500,2023-04-12 20:46:01
30,STELLA ARTOIS,CERV. SIXPACK BOT STELLA ARTOIS 1980 ml,1980 ml,$ 29.250,0,$ 29.250,2023-04-12 20:46:01
31,CRUZARES MARCA EXCLUSIVA,Vino Blanco CRUZARES MARCA EXCLUSIVA 750 ml,750 ml,$ 15.000,$ 14.950,$ 14.950,2023-04-12 20:46:01
32,ANDINA,Cerveza Sixpack ANDINA 1980 ml,1980 ml,$ 15.600,-11 %,$ 13.950,2023-04-12 20:46:01
