Id,Nombre,Descripcion,Mililitros,Precio,Descuento,PrecioConDescuento
1,SMIRNOFF,Licor smirnoff vodka lulo caja tetrapack x1000ml,x1000ml,$ 46.990,0,$ 46.990
2,CONVIER,Licor Convier crema triple sec 750ml,750ml,$ 67.990,,$ 46.990
3,VIEJO DE CALDAS,Licor De Ron Viejo De Caldas Esencial x750ml,x750ml,$ 35.290,,$ 46.990
4,SMIRNOFF,Licor smirnoff vodka lulo x375ml,x375ml,$ 21.990,,$ 46.990
5,SMIRNOFF,Licor Smirnoff vodka lulo sin azúcar x750 ml,ml,$ 43.890,,$ 46.990
6,VIEJO DE CALDAS,Licor De Ron Viejo De Caldas Esencial x375ml,x375ml,$ 18.590,,$ 46.990
7,CONVIER,Licor convier triple sec azul 35 x 750ml,750ml,$ 67.990,,$ 46.990
8,SMIRNOFF,Licor smirnoff vodka lulo x750ml edicion especial,especial,$ 39.990,,$ 46.990
9,DISARONNO,Licor disaronno original italiano botella x750ml,x750ml,$ 163.990,,$ 46.990
10,SMIRNOFF,Licor Smirnoff vodka lulo sin azúcar x350 ml,ml,$ 23.990,,$ 46.990
11,MEDELLIN,Licor de Ron Medellin x375ml,x375ml,$ 18.590,,$ 46.990
12,BARDINET,Licor Triple Sec Bardinet Botella x700ml,x700ml,$ 59.990,,$ 46.990
13,CUARENTAYTRES,Licor de whisky 43 original botella x 750 ml,ml,$ 129.990,,$ 46.990
14,BARDINET,Licor amaretto Bardinet botella x 700 cm 3,3,$ 59.990,,$ 46.990
15,MEDELLIN,Licor de Ron Medellin x750ml,x750ml,$ 35.990,,$ 46.990
16,SMIRNOFF,Licor Smirnoff vodka lulo sin azúcar x1000 ml,ml,$ 51.990,,$ 46.990
17,NOBLE,Licor noble ligth 24% vol blanco x375ml,x375ml,$ 31.990,,$ 46.990
18,BAILEYS,Crema de whisky Baileys x700ml,x700ml,$ 69.990,,$ 46.990
19,BUCHANAN'S,Whisky Buchanan's Deluxe 12 años x750ml,x750ml,$ 152.990,,$ 46.990
20,GRAND OLD,Whisky Old Parr 12 años x 1000ml,1000ml,$ 172.990,,$ 46.990
21,BUCHANAN'S,Whisky Buchanan's Master x750ml,x750ml,$ 174.990,,$ 46.990
22,GRAND OLD,Whisky Old Parr 12 años x750ml,x750ml,$ 137.990,,$ 46.990
23,BUCHANAN'S,Whisky Buchanan's Deluxe x1000ml,x1000ml,$ 194.990,,$ 46.990
24,GORDON´S,Ginebra Gordon's Dry Gin x700ml,x700ml,$ 69.990,,$ 46.990
25,CHIVAS REGAL,Whisky Chivas Regal 12 años x1000cm3,x1000cm3,$ 171.890,,$ 46.990
26,BUCHANAN'S,Whisky Buchanan's 18 años x750ml,x750ml,$ 349.890,,$ 46.990
27,BUCHANAN'S,Whisky Buchanan's Master x1000ml,x1000ml,$ 209.990,,$ 46.990
28,GRANTS,Whisky Grants botella x1750ml,x1750ml,$ 130.990,,$ 46.990
29,JOSE CUERVO,Tequila Jose cuervo especial botella x 750ml,750ml,$ 95.990,0,$ 95.990
30,JOHNNIE WALKER,Whisky Johnnie Walker blue label botella x 750 ml,ml,$ 1.099.990,,$ 95.990
31,BAILEYS,Crema de whisky Baileys botella x 1000ml,1000ml,$ 95.990,,$ 95.990
32,JACK DANIEL'S,Whiskey Jack Daniel's Old Tennesee x750ml,x750ml,$ 119.990,,$ 95.990
33,ABSOLUT,Absolut vodka 1000ml,1000ml,$ 114.890,,$ 95.990
34,GRANTS,Whisky grants stand fast x1l,x1l,$ 84.990,,$ 95.990
35,SINGLETON,Malta Singleton Dufftown 12 años x700ml,x700ml,$ 159.990,,$ 95.990
36,VIEJO DE CALDAS,Ron Viejo De Caldas Carta De Oro 8 Años x750ml,x750ml,$ 83.990,,$ 95.990
37,JOHNNIE WALKER,Whisky Johnnie Walker Red Label x1000ml,x1000ml,$ 88.990,,$ 95.990
38,GLENFIDDICH,Whisky Glenfiddich 12 años reserva especial x750ml,x750ml,$ 196.990,,$ 95.990
39,ANTIOQUENO,Aguardiente Antioqueño sin azúcar tetra x 1050 ml,ml,$ 39.990,,$ 95.990
40,BLACK AND WHITE,Whisky Black & White 8 años botella x700ml,x700ml,$ 49.990,,$ 95.990
41,TANQUERAY,Ginebra Tanqueray London Dry Gin x700ml,x700ml,$ 135.990,,$ 95.990
42,JACK DANIEL'S,Whisky Jack Daniel's Fire x750ml,x750ml,$ 119.990,,$ 95.990
43,JOHNNIE WALKER,Whisky Johnnie Walker Black Label x700ml,x700ml,$ 135.990,,$ 95.990
44,SMIRNOFF,Vodka Smirnoff Ice original x4und x250ml c-u,c-u,$ 23.590,,$ 95.990
45,ANTIOQUENO,Aguardiente Antioqueño sin azúcar 24 tetra. X 1050 ml,ml,$ 47.990,,$ 95.990
46,JOHNNIE WALKER,Whisky Jhonnie Walker Red Label x700ml,x700ml,$ 67.990,,$ 95.990
47,OLD PARR,Whisky Old Parr 18 años x750ml,x750ml,$ 329.990,,$ 95.990
48,DON JULIO,Tequila don julio 70 x700ml,x700ml,$ 369.990,,$ 95.990
49,SOMETHING SPECIAL,Whisky Something Special botella x750ml,x750ml,$ 69.890,,$ 95.990
50,CHIVAS REGAL,Whisky Chivas Regal 12 años botella x700ml,x700ml,$ 137.900,,$ 95.990
51,SMIRNOFF,Vodka Smirnof lulo x1 shots x750ml,x750ml,$ 39.990,,$ 95.990
52,OLD PARR,Whisky Old Parr 12 años x750ml + 2 vasos,vasos,$ 137.990,,$ 95.990
53,THE MACALLAN,Whisky Macallan Double Cask 12 años botella x700ml,x700ml,$ 421.990,,$ 95.990
54,AMARILLO,Aguardiente Amarillo De Manzanares 24° x1000ml,x1000ml,$ 42.990,,$ 95.990
55,FAMOUS GROUSE,Whisky The Famous Grouse botella x700ml,x700ml,$ 68.990,,$ 95.990
56,ABSOLUT,Vodka Absolut x700ml,x700ml,$ 87.890,,$ 95.990
57,BUCHANAN'S,Whisky Buchanan's 12 años x750ml +portavasos x4 +tabla,+tabla,$ 152.990,0,$ 152.990
58,RON ABUELO,Ron Abuelo añejo reserva especial botella x 750 ml,ml,$ 71.990,,$ 152.990
59,BAILEYS,Crema de whisky Baileys x375ml,x375ml,$ 41.990,,$ 152.990
60,ANTIOQUENO,Aguardiente Antioqueño garrafa x 2000 ml,ml,$ 89.290,,$ 152.990
61,SOMETHING SPECIAL,Whisky Something Special x1000ml,x1000ml,$ 93.890,,$ 152.990
62,BLANCO DEL VALLE,Aguardiente blanco 24 grados fiesta bot.x750ml,bot.x750ml,$ 35.290,,$ 152.990
63,JACK DANIEL'S,Whiskey Jack Daniel's Tennesee Honey x750ml,x750ml,$ 119.990,,$ 152.990
64,BUCHANAN'S,Whisky buchanan's red seal bot x 750cm3,750cm3,$ 799.990,,$ 152.990
